,country,date,daily_vaccinations,vaccines
790,Lithuania,2021-01-04,720,"Moderna, Pfizer/BioNTech"
791,Lithuania,2021-01-05,311,"Moderna, Pfizer/BioNTech"
792,Lithuania,2021-01-06,592,"Moderna, Pfizer/BioNTech"
793,Lithuania,2021-01-07,1180,"Moderna, Pfizer/BioNTech"
794,Lithuania,2021-01-08,1897,"Moderna, Pfizer/BioNTech"
795,Lithuania,2021-01-09,1923,"Moderna, Pfizer/BioNTech"
796,Lithuania,2021-01-10,1905,"Moderna, Pfizer/BioNTech"
797,Lithuania,2021-01-11,2201,"Moderna, Pfizer/BioNTech"
798,Lithuania,2021-01-12,2479,"Moderna, Pfizer/BioNTech"
799,Lithuania,2021-01-13,2843,"Moderna, Pfizer/BioNTech"
800,Lithuania,2021-01-14,3476,"Moderna, Pfizer/BioNTech"
801,Lithuania,2021-01-15,3765,"Moderna, Pfizer/BioNTech"
802,Lithuania,2021-01-16,3877,"Moderna, Pfizer/BioNTech"
803,Lithuania,2021-01-17,4038,"Moderna, Pfizer/BioNTech"
804,Lithuania,2021-01-18,4363,"Moderna, Pfizer/BioNTech"
805,Lithuania,2021-01-19,4960,"Moderna, Pfizer/BioNTech"
806,Lithuania,2021-01-20,4587,"Moderna, Pfizer/BioNTech"
807,Lithuania,2021-01-21,3564,"Moderna, Pfizer/BioNTech"
808,Lithuania,2021-01-22,2581,"Moderna, Pfizer/BioNTech"
809,Lithuania,2021-01-23,2427,"Moderna, Pfizer/BioNTech"
810,Lithuania,2021-01-24,2268,"Moderna, Pfizer/BioNTech"
811,Lithuania,2021-01-25,1633,"Moderna, Pfizer/BioNTech"
812,Luxembourg,2020-12-30,62,Pfizer/BioNTech
813,Luxembourg,2020-12-31,62,Pfizer/BioNTech
814,Luxembourg,2021-01-01,62,Pfizer/BioNTech
815,Luxembourg,2021-01-02,62,Pfizer/BioNTech
816,Luxembourg,2021-01-03,62,Pfizer/BioNTech
817,Luxembourg,2021-01-04,62,Pfizer/BioNTech
818,Luxembourg,2021-01-05,62,Pfizer/BioNTech
819,Luxembourg,2021-01-06,62,Pfizer/BioNTech
820,Luxembourg,2021-01-07,62,Pfizer/BioNTech
821,Luxembourg,2021-01-08,62,Pfizer/BioNTech
822,Luxembourg,2021-01-09,62,Pfizer/BioNTech
823,Luxembourg,2021-01-10,62,Pfizer/BioNTech
824,Luxembourg,2021-01-11,62,Pfizer/BioNTech
825,Luxembourg,2021-01-12,114,Pfizer/BioNTech
826,Luxembourg,2021-01-13,177,Pfizer/BioNTech
827,Luxembourg,2021-01-14,220,Pfizer/BioNTech
828,Luxembourg,2021-01-15,236,Pfizer/BioNTech
829,Luxembourg,2021-01-16,252,Pfizer/BioNTech
830,Luxembourg,2021-01-17,268,Pfizer/BioNTech
831,Luxembourg,2021-01-18,375,Pfizer/BioNTech
832,Luxembourg,2021-01-19,417,Pfizer/BioNTech
833,Luxembourg,2021-01-20,475,Pfizer/BioNTech
834,Luxembourg,2021-01-21,523,Pfizer/BioNTech
835,Luxembourg,2021-01-22,537,Pfizer/BioNTech
836,Luxembourg,2021-01-23,551,Pfizer/BioNTech
837,Luxembourg,2021-01-24,565,Pfizer/BioNTech
838,Malta,2020-12-28,259,Pfizer/BioNTech
839,Malta,2020-12-29,259,Pfizer/BioNTech
840,Malta,2020-12-30,259,Pfizer/BioNTech
841,Malta,2020-12-31,259,Pfizer/BioNTech
842,Malta,2021-01-01,259,Pfizer/BioNTech
843,Malta,2021-01-02,259,Pfizer/BioNTech
844,Malta,2021-01-03,259,Pfizer/BioNTech
845,Malta,2021-01-04,259,Pfizer/BioNTech
846,Malta,2021-01-05,281,Pfizer/BioNTech
847,Malta,2021-01-06,304,Pfizer/BioNTech
848,Malta,2021-01-07,327,Pfizer/BioNTech
849,Malta,2021-01-08,350,Pfizer/BioNTech
850,Malta,2021-01-09,373,Pfizer/BioNTech
851,Malta,2021-01-10,396,Pfizer/BioNTech
852,Malta,2021-01-11,419,Pfizer/BioNTech
853,Malta,2021-01-12,524,Pfizer/BioNTech
854,Malta,2021-01-13,629,Pfizer/BioNTech
855,Malta,2021-01-14,735,Pfizer/BioNTech
856,Malta,2021-01-15,840,Pfizer/BioNTech
857,Malta,2021-01-16,938,Pfizer/BioNTech
858,Malta,2021-01-17,1036,Pfizer/BioNTech
859,Malta,2021-01-18,1162,Pfizer/BioNTech
860,Malta,2021-01-19,1178,Pfizer/BioNTech
861,Malta,2021-01-20,1162,Pfizer/BioNTech
862,Malta,2021-01-21,1170,Pfizer/BioNTech
863,Malta,2021-01-22,1182,Pfizer/BioNTech
864,Malta,2021-01-23,1190,Pfizer/BioNTech
865,Malta,2021-01-24,1182,Pfizer/BioNTech
866,Mexico,2020-12-24,1300,Pfizer/BioNTech
867,Mexico,2020-12-25,1300,Pfizer/BioNTech
868,Mexico,2020-12-26,1300,Pfizer/BioNTech
869,Mexico,2020-12-27,1300,Pfizer/BioNTech
870,Mexico,2020-12-28,1664,Pfizer/BioNTech
871,Mexico,2020-12-29,3121,Pfizer/BioNTech
872,Mexico,2020-12-30,3679,Pfizer/BioNTech
873,Mexico,2020-12-31,3695,Pfizer/BioNTech
874,Mexico,2021-01-01,4051,Pfizer/BioNTech
875,Mexico,2021-01-02,4407,Pfizer/BioNTech
876,Mexico,2021-01-03,4763,Pfizer/BioNTech
877,Mexico,2021-01-04,4912,Pfizer/BioNTech
878,Mexico,2021-01-05,4244,Pfizer/BioNTech
879,Mexico,2021-01-06,4027,Pfizer/BioNTech
880,Mexico,2021-01-07,4230,Pfizer/BioNTech
881,Mexico,2021-01-08,4984,Pfizer/BioNTech
882,Mexico,2021-01-09,5488,Pfizer/BioNTech
883,Mexico,2021-01-10,5876,Pfizer/BioNTech
884,Mexico,2021-01-11,6157,Pfizer/BioNTech
885,Mexico,2021-01-12,6378,Pfizer/BioNTech
886,Mexico,2021-01-13,19912,Pfizer/BioNTech
887,Mexico,2021-01-14,38797,Pfizer/BioNTech
888,Mexico,2021-01-15,49987,Pfizer/BioNTech
889,Mexico,2021-01-16,55493,Pfizer/BioNTech
890,Mexico,2021-01-17,55835,Pfizer/BioNTech
891,Mexico,2021-01-18,57924,Pfizer/BioNTech
892,Mexico,2021-01-19,57892,Pfizer/BioNTech
893,Mexico,2021-01-20,44066,Pfizer/BioNTech
894,Mexico,2021-01-21,31765,Pfizer/BioNTech
895,Mexico,2021-01-22,28205,Pfizer/BioNTech
896,Mexico,2021-01-23,22217,Pfizer/BioNTech
897,Mexico,2021-01-24,22498,Pfizer/BioNTech
898,Mexico,2021-01-25,21797,Pfizer/BioNTech
899,Netherlands,2021-01-06,4000,"Moderna, Pfizer/BioNTech"
900,Netherlands,2021-01-07,9000,"Moderna, Pfizer/BioNTech"
901,Netherlands,2021-01-08,10500,"Moderna, Pfizer/BioNTech"
902,Netherlands,2021-01-09,8000,"Moderna, Pfizer/BioNTech"
903,Netherlands,2021-01-10,7000,"Moderna, Pfizer/BioNTech"
904,Netherlands,2021-01-11,5900,"Moderna, Pfizer/BioNTech"
905,Netherlands,2021-01-12,6500,"Moderna, Pfizer/BioNTech"
906,Netherlands,2021-01-13,5857,"Moderna, Pfizer/BioNTech"
907,Netherlands,2021-01-14,5143,"Moderna, Pfizer/BioNTech"
908,Netherlands,2021-01-15,4000,"Moderna, Pfizer/BioNTech"
909,Netherlands,2021-01-16,5143,"Moderna, Pfizer/BioNTech"
910,Netherlands,2021-01-17,6143,"Moderna, Pfizer/BioNTech"
911,Netherlands,2021-01-18,7024,"Moderna, Pfizer/BioNTech"
912,Netherlands,2021-01-19,6762,"Moderna, Pfizer/BioNTech"
913,Netherlands,2021-01-20,7571,"Moderna, Pfizer/BioNTech"
914,Netherlands,2021-01-21,9500,"Moderna, Pfizer/BioNTech"
915,Netherlands,2021-01-22,11429,"Moderna, Pfizer/BioNTech"
916,Northern Ireland,2020-12-13,1563,"Oxford/AstraZeneca, Pfizer/BioNTech"
917,Northern Ireland,2020-12-14,1778,"Oxford/AstraZeneca, Pfizer/BioNTech"
918,Northern Ireland,2020-12-15,1778,"Oxford/AstraZeneca, Pfizer/BioNTech"
919,Northern Ireland,2020-12-16,1778,"Oxford/AstraZeneca, Pfizer/BioNTech"
920,Northern Ireland,2020-12-17,1778,"Oxford/AstraZeneca, Pfizer/BioNTech"
921,Northern Ireland,2020-12-18,1778,"Oxford/AstraZeneca, Pfizer/BioNTech"
922,Northern Ireland,2020-12-19,1778,"Oxford/AstraZeneca, Pfizer/BioNTech"
923,Northern Ireland,2020-12-20,1778,"Oxford/AstraZeneca, Pfizer/BioNTech"
924,Northern Ireland,2020-12-21,1829,"Oxford/AstraZeneca, Pfizer/BioNTech"
925,Northern Ireland,2020-12-22,1880,"Oxford/AstraZeneca, Pfizer/BioNTech"
926,Northern Ireland,2020-12-23,1931,"Oxford/AstraZeneca, Pfizer/BioNTech"
927,Northern Ireland,2020-12-24,1982,"Oxford/AstraZeneca, Pfizer/BioNTech"
928,Northern Ireland,2020-12-25,2033,"Oxford/AstraZeneca, Pfizer/BioNTech"
929,Northern Ireland,2020-12-26,2084,"Oxford/AstraZeneca, Pfizer/BioNTech"
930,Northern Ireland,2020-12-27,2135,"Oxford/AstraZeneca, Pfizer/BioNTech"
931,Northern Ireland,2020-12-28,2054,"Oxford/AstraZeneca, Pfizer/BioNTech"
932,Northern Ireland,2020-12-29,1972,"Oxford/AstraZeneca, Pfizer/BioNTech"
933,Northern Ireland,2020-12-30,1890,"Oxford/AstraZeneca, Pfizer/BioNTech"
934,Northern Ireland,2020-12-31,1808,"Oxford/AstraZeneca, Pfizer/BioNTech"
935,Northern Ireland,2021-01-01,1726,"Oxford/AstraZeneca, Pfizer/BioNTech"
936,Northern Ireland,2021-01-02,1645,"Oxford/AstraZeneca, Pfizer/BioNTech"
937,Northern Ireland,2021-01-03,1563,"Oxford/AstraZeneca, Pfizer/BioNTech"
938,Northern Ireland,2021-01-04,2360,"Oxford/AstraZeneca, Pfizer/BioNTech"
939,Northern Ireland,2021-01-05,3157,"Oxford/AstraZeneca, Pfizer/BioNTech"
940,Northern Ireland,2021-01-06,3954,"Oxford/AstraZeneca, Pfizer/BioNTech"
941,Northern Ireland,2021-01-07,4751,"Oxford/AstraZeneca, Pfizer/BioNTech"
942,Northern Ireland,2021-01-08,5548,"Oxford/AstraZeneca, Pfizer/BioNTech"
943,Northern Ireland,2021-01-09,6345,"Oxford/AstraZeneca, Pfizer/BioNTech"
944,Northern Ireland,2021-01-10,7143,"Oxford/AstraZeneca, Pfizer/BioNTech"
945,Northern Ireland,2021-01-11,7197,"Oxford/AstraZeneca, Pfizer/BioNTech"
946,Northern Ireland,2021-01-12,7574,"Oxford/AstraZeneca, Pfizer/BioNTech"
947,Northern Ireland,2021-01-13,8332,"Oxford/AstraZeneca, Pfizer/BioNTech"
948,Northern Ireland,2021-01-14,9044,"Oxford/AstraZeneca, Pfizer/BioNTech"
949,Northern Ireland,2021-01-15,8530,"Oxford/AstraZeneca, Pfizer/BioNTech"
950,Northern Ireland,2021-01-16,7964,"Oxford/AstraZeneca, Pfizer/BioNTech"
951,Northern Ireland,2021-01-17,7826,"Oxford/AstraZeneca, Pfizer/BioNTech"
952,Northern Ireland,2021-01-18,7852,"Oxford/AstraZeneca, Pfizer/BioNTech"
953,Northern Ireland,2021-01-19,7306,"Oxford/AstraZeneca, Pfizer/BioNTech"
954,Northern Ireland,2021-01-20,6404,"Oxford/AstraZeneca, Pfizer/BioNTech"
955,Northern Ireland,2021-01-21,5674,"Oxford/AstraZeneca, Pfizer/BioNTech"
956,Northern Ireland,2021-01-22,5664,"Oxford/AstraZeneca, Pfizer/BioNTech"
957,Northern Ireland,2021-01-23,5396,"Oxford/AstraZeneca, Pfizer/BioNTech"
958,Northern Ireland,2021-01-24,5089,"Oxford/AstraZeneca, Pfizer/BioNTech"
959,Norway,2020-12-27,224,Pfizer/BioNTech
960,Norway,2020-12-28,600,Pfizer/BioNTech
961,Norway,2020-12-29,834,Pfizer/BioNTech
962,Norway,2020-12-30,697,Pfizer/BioNTech
963,Norway,2020-12-31,540,Pfizer/BioNTech
964,Norway,2021-01-01,434,Pfizer/BioNTech
965,Norway,2021-01-02,361,Pfizer/BioNTech
966,Norway,2021-01-03,310,Pfizer/BioNTech
967,Norway,2021-01-04,224,Pfizer/BioNTech
968,Norway,2021-01-05,560,Pfizer/BioNTech
969,Norway,2021-01-06,1772,Pfizer/BioNTech
970,Norway,2021-01-07,2696,Pfizer/BioNTech
971,Norway,2021-01-08,2924,Pfizer/BioNTech
972,Norway,2021-01-09,2942,Pfizer/BioNTech
973,Norway,2021-01-10,2958,Pfizer/BioNTech
974,Norway,2021-01-11,3006,Pfizer/BioNTech
975,Norway,2021-01-12,3105,Pfizer/BioNTech
976,Norway,2021-01-13,3201,Pfizer/BioNTech
977,Norway,2021-01-14,3447,Pfizer/BioNTech
978,Norway,2021-01-15,3847,Pfizer/BioNTech
979,Norway,2021-01-16,3929,Pfizer/BioNTech
980,Norway,2021-01-17,3955,Pfizer/BioNTech
981,Norway,2021-01-18,4120,Pfizer/BioNTech
982,Norway,2021-01-19,4276,Pfizer/BioNTech
983,Norway,2021-01-20,4356,Pfizer/BioNTech
984,Norway,2021-01-21,4303,Pfizer/BioNTech
985,Norway,2021-01-22,4109,Pfizer/BioNTech
986,Norway,2021-01-23,4059,Pfizer/BioNTech
987,Norway,2021-01-24,4027,Pfizer/BioNTech
988,Oman,2020-12-28,817,Pfizer/BioNTech
989,Oman,2020-12-29,1646,Pfizer/BioNTech
990,Oman,2020-12-30,1663,Pfizer/BioNTech
991,Oman,2020-12-31,1600,Pfizer/BioNTech
992,Oman,2021-01-01,1289,Pfizer/BioNTech
993,Oman,2021-01-02,1103,Pfizer/BioNTech
994,Oman,2021-01-03,1185,Pfizer/BioNTech
995,Oman,2021-01-04,1287,Pfizer/BioNTech
996,Oman,2021-01-05,1341,Pfizer/BioNTech
997,Oman,2021-01-06,1280,Pfizer/BioNTech
998,Oman,2021-01-07,1199,Pfizer/BioNTech
999,Oman,2021-01-08,1158,Pfizer/BioNTech
1000,Oman,2021-01-09,1113,Pfizer/BioNTech
1001,Oman,2021-01-10,1012,Pfizer/BioNTech
1002,Oman,2021-01-11,1080,Pfizer/BioNTech
1003,Oman,2021-01-12,1128,Pfizer/BioNTech
1004,Oman,2021-01-13,1249,Pfizer/BioNTech
1005,Oman,2021-01-14,1328,Pfizer/BioNTech
1006,Oman,2021-01-15,1358,Pfizer/BioNTech
1007,Oman,2021-01-16,1393,Pfizer/BioNTech
1008,Oman,2021-01-17,1363,Pfizer/BioNTech
1009,Oman,2021-01-18,1210,Pfizer/BioNTech
1010,Oman,2021-01-19,1057,Pfizer/BioNTech
1011,Oman,2021-01-20,971,Pfizer/BioNTech
1012,Oman,2021-01-21,817,Pfizer/BioNTech
1013,Oman,2021-01-22,830,Pfizer/BioNTech
1014,Oman,2021-01-23,843,Pfizer/BioNTech
1015,Oman,2021-01-24,1046,Pfizer/BioNTech
1016,Panama,2021-01-19,6,Pfizer/BioNTech
1017,Panama,2021-01-20,6,Pfizer/BioNTech
1018,Panama,2021-01-21,1364,Pfizer/BioNTech
1019,Panama,2021-01-22,1694,Pfizer/BioNTech
1020,Panama,2021-01-23,1398,Pfizer/BioNTech
1021,Panama,2021-01-24,1284,Pfizer/BioNTech
1022,Poland,2020-12-28,4300,Pfizer/BioNTech
1023,Poland,2020-12-29,4300,Pfizer/BioNTech
1024,Poland,2020-12-30,17150,Pfizer/BioNTech
1025,Poland,2020-12-31,15200,Pfizer/BioNTech
1026,Poland,2021-01-01,11749,Pfizer/BioNTech
1027,Poland,2021-01-02,9678,Pfizer/BioNTech
1028,Poland,2021-01-03,8139,Pfizer/BioNTech
1029,Poland,2021-01-04,12889,Pfizer/BioNTech
1030,Poland,2021-01-05,19132,Pfizer/BioNTech
1031,Poland,2021-01-06,17723,Pfizer/BioNTech
1032,Poland,2021-01-07,20194,Pfizer/BioNTech
1033,Poland,2021-01-08,21399,Pfizer/BioNTech
1034,Poland,2021-01-09,21376,Pfizer/BioNTech
1035,Poland,2021-01-10,21746,Pfizer/BioNTech
1036,Poland,2021-01-11,23659,Pfizer/BioNTech
1037,Poland,2021-01-12,24199,Pfizer/BioNTech
1038,Poland,2021-01-13,29836,Pfizer/BioNTech
1039,Poland,2021-01-14,31646,Pfizer/BioNTech
1040,Poland,2021-01-15,34025,Pfizer/BioNTech
1041,Poland,2021-01-16,36754,Pfizer/BioNTech
1042,Poland,2021-01-17,38059,Pfizer/BioNTech
1043,Poland,2021-01-18,33904,Pfizer/BioNTech
1044,Poland,2021-01-19,33087,Pfizer/BioNTech
1045,Poland,2021-01-20,31796,Pfizer/BioNTech
1046,Poland,2021-01-21,33503,Pfizer/BioNTech
1047,Poland,2021-01-22,35331,Pfizer/BioNTech
1048,Poland,2021-01-23,34837,Pfizer/BioNTech
1049,Poland,2021-01-24,34001,Pfizer/BioNTech
1050,Portugal,2020-12-27,2791,Pfizer/BioNTech
1051,Portugal,2020-12-28,2791,Pfizer/BioNTech
1052,Portugal,2020-12-29,7702,Pfizer/BioNTech
1053,Portugal,2020-12-30,8527,Pfizer/BioNTech
1054,Portugal,2020-12-31,6946,Pfizer/BioNTech
1055,Portugal,2021-01-01,5557,Pfizer/BioNTech
1056,Portugal,2021-01-02,4631,Pfizer/BioNTech
1057,Portugal,2021-01-03,3970,Pfizer/BioNTech
1058,Portugal,2021-01-04,3702,Pfizer/BioNTech
1059,Portugal,2021-01-05,3724,Pfizer/BioNTech
1060,Portugal,2021-01-06,4416,Pfizer/BioNTech
1061,Portugal,2021-01-07,5572,Pfizer/BioNTech
1062,Portugal,2021-01-08,5929,Pfizer/BioNTech
1063,Portugal,2021-01-09,5943,Pfizer/BioNTech
1064,Portugal,2021-01-10,5949,Pfizer/BioNTech
1065,Portugal,2021-01-11,5944,Pfizer/BioNTech
1066,Portugal,2021-01-12,5676,Pfizer/BioNTech
1067,Portugal,2021-01-13,5501,Pfizer/BioNTech
1068,Portugal,2021-01-14,5623,Pfizer/BioNTech
1069,Portugal,2021-01-15,6335,Pfizer/BioNTech
1070,Portugal,2021-01-16,6540,Pfizer/BioNTech
1071,Portugal,2021-01-17,6701,Pfizer/BioNTech
1072,Portugal,2021-01-18,7061,Pfizer/BioNTech
1073,Portugal,2021-01-19,8896,Pfizer/BioNTech
1074,Portugal,2021-01-20,11058,Pfizer/BioNTech
1075,Portugal,2021-01-21,14194,Pfizer/BioNTech
1076,Portugal,2021-01-22,16876,Pfizer/BioNTech
1077,Portugal,2021-01-23,18770,Pfizer/BioNTech
1078,Portugal,2021-01-24,19200,Pfizer/BioNTech
1079,Romania,2020-12-28,712,Pfizer/BioNTech
1080,Romania,2020-12-29,712,Pfizer/BioNTech
1081,Romania,2020-12-30,1800,Pfizer/BioNTech
1082,Romania,2020-12-31,2741,Pfizer/BioNTech
1083,Romania,2021-01-01,2398,Pfizer/BioNTech
1084,Romania,2021-01-02,2235,Pfizer/BioNTech
1085,Romania,2021-01-03,1922,Pfizer/BioNTech
1086,Romania,2021-01-04,3349,Pfizer/BioNTech
1087,Romania,2021-01-05,5547,Pfizer/BioNTech
1088,Romania,2021-01-06,7555,Pfizer/BioNTech
1089,Romania,2021-01-07,9444,Pfizer/BioNTech
1090,Romania,2021-01-08,11579,Pfizer/BioNTech
1091,Romania,2021-01-09,12723,Pfizer/BioNTech
1092,Romania,2021-01-10,13528,Pfizer/BioNTech
1093,Romania,2021-01-11,14240,Pfizer/BioNTech
1094,Romania,2021-01-12,14120,Pfizer/BioNTech
1095,Romania,2021-01-13,13673,Pfizer/BioNTech
1096,Romania,2021-01-14,13030,Pfizer/BioNTech
1097,Romania,2021-01-15,12995,Pfizer/BioNTech
1098,Romania,2021-01-16,13398,Pfizer/BioNTech
1099,Romania,2021-01-17,13824,Pfizer/BioNTech
1100,Romania,2021-01-18,15721,Pfizer/BioNTech
1101,Romania,2021-01-19,18514,Pfizer/BioNTech
1102,Romania,2021-01-20,22017,Pfizer/BioNTech
1103,Romania,2021-01-21,25783,Pfizer/BioNTech
1104,Romania,2021-01-22,28895,Pfizer/BioNTech
1105,Romania,2021-01-23,31828,Pfizer/BioNTech
1106,Romania,2021-01-24,34461,Pfizer/BioNTech
1107,Romania,2021-01-25,35627,Pfizer/BioNTech
1108,Russia,2020-12-15,3357,Sputnik V
1109,Russia,2020-12-16,3357,Sputnik V
1110,Russia,2020-12-17,3357,Sputnik V
1111,Russia,2020-12-18,3357,Sputnik V
1112,Russia,2020-12-19,3357,Sputnik V
1113,Russia,2020-12-20,3357,Sputnik V
1114,Russia,2020-12-21,3357,Sputnik V
1115,Russia,2020-12-22,3357,Sputnik V
1116,Russia,2020-12-23,12592,Sputnik V
1117,Russia,2020-12-24,21827,Sputnik V
1118,Russia,2020-12-25,31061,Sputnik V
1119,Russia,2020-12-26,40296,Sputnik V
1120,Russia,2020-12-27,49531,Sputnik V
1121,Russia,2020-12-28,58765,Sputnik V
1122,Russia,2020-12-29,68000,Sputnik V
1123,Russia,2020-12-30,68000,Sputnik V
1124,Russia,2020-12-31,68000,Sputnik V
1125,Russia,2021-01-01,68000,Sputnik V
1126,Russia,2021-01-02,68000,Sputnik V
1127,Russia,2021-01-03,60883,Sputnik V
1128,Russia,2021-01-04,53766,Sputnik V
1129,Russia,2021-01-05,46649,Sputnik V
1130,Russia,2021-01-06,39532,Sputnik V
1131,Russia,2021-01-07,32416,Sputnik V
1132,Russia,2021-01-08,25299,Sputnik V
1133,Russia,2021-01-09,18182,Sputnik V
1134,Russia,2021-01-10,18182,Sputnik V
1135,Russia,2021-01-11,18182,Sputnik V
1136,Russia,2021-01-12,18182,Sputnik V
1137,Russia,2021-01-13,18182,Sputnik V
1138,Saudi Arabia,2021-01-06,14153,Pfizer/BioNTech
1139,Saudi Arabia,2021-01-07,37862,Pfizer/BioNTech
1140,Saudi Arabia,2021-01-08,23990,Pfizer/BioNTech
1141,Saudi Arabia,2021-01-09,19366,Pfizer/BioNTech
1142,Saudi Arabia,2021-01-10,17055,Pfizer/BioNTech
1143,Saudi Arabia,2021-01-11,15667,Pfizer/BioNTech
1144,Saudi Arabia,2021-01-12,16312,Pfizer/BioNTech
1145,Saudi Arabia,2021-01-13,16772,Pfizer/BioNTech
1146,Saudi Arabia,2021-01-14,14153,Pfizer/BioNTech
1147,Saudi Arabia,2021-01-15,15498,Pfizer/BioNTech
1148,Saudi Arabia,2021-01-16,16843,Pfizer/BioNTech
1149,Saudi Arabia,2021-01-17,18187,Pfizer/BioNTech
1150,Scotland,2020-12-13,3047,"Oxford/AstraZeneca, Pfizer/BioNTech"
1151,Scotland,2020-12-14,5821,"Oxford/AstraZeneca, Pfizer/BioNTech"
1152,Scotland,2020-12-15,5821,"Oxford/AstraZeneca, Pfizer/BioNTech"
1153,Scotland,2020-12-16,5821,"Oxford/AstraZeneca, Pfizer/BioNTech"
1154,Scotland,2020-12-17,5821,"Oxford/AstraZeneca, Pfizer/BioNTech"
1155,Scotland,2020-12-18,5821,"Oxford/AstraZeneca, Pfizer/BioNTech"
1156,Scotland,2020-12-19,5821,"Oxford/AstraZeneca, Pfizer/BioNTech"
1157,Scotland,2020-12-20,5821,"Oxford/AstraZeneca, Pfizer/BioNTech"
1158,Scotland,2020-12-21,5690,"Oxford/AstraZeneca, Pfizer/BioNTech"
1159,Scotland,2020-12-22,5558,"Oxford/AstraZeneca, Pfizer/BioNTech"
1160,Scotland,2020-12-23,5426,"Oxford/AstraZeneca, Pfizer/BioNTech"
1161,Scotland,2020-12-24,5295,"Oxford/AstraZeneca, Pfizer/BioNTech"
1162,Scotland,2020-12-25,5163,"Oxford/AstraZeneca, Pfizer/BioNTech"
1163,Scotland,2020-12-26,5031,"Oxford/AstraZeneca, Pfizer/BioNTech"
1164,Scotland,2020-12-27,4899,"Oxford/AstraZeneca, Pfizer/BioNTech"
1165,Scotland,2020-12-28,4635,"Oxford/AstraZeneca, Pfizer/BioNTech"
1166,Scotland,2020-12-29,4370,"Oxford/AstraZeneca, Pfizer/BioNTech"
1167,Scotland,2020-12-30,4105,"Oxford/AstraZeneca, Pfizer/BioNTech"
1168,Scotland,2020-12-31,3841,"Oxford/AstraZeneca, Pfizer/BioNTech"
1169,Scotland,2021-01-01,3576,"Oxford/AstraZeneca, Pfizer/BioNTech"
1170,Scotland,2021-01-02,3312,"Oxford/AstraZeneca, Pfizer/BioNTech"
1171,Scotland,2021-01-03,3047,"Oxford/AstraZeneca, Pfizer/BioNTech"
